url,id,question,answers,is_impossible
https://www.webmd.com/beauty/qa/how-are-retinoids-used-for-acne,749a1c0e08d35eb7ee4d041b551eb51f,How are retinoids used for acne?,"[{'text': 'How to use: Smooth a pea-sized amount of retinoid cream over the skin once a day 20 to 30 minutes after washing your face.', 'answer_span': [7], 'answer_start': 697, 'answer_starts': [[697, 122]]}]",FALSE
https://www.webmd.com/beauty/qa/what-else-do-you-need-to-know-about-using-retinoids-for-warts,d7f4c99f672f0f326ff1f3a26875e28d,What else do you need to know about using retinoids for warts?,"[{'text': 'What else you need to know: When you first use retinoids, you may notice redness, peeling of your skin, or worsening of your acne.', 'answer_span': [8], 'answer_start': 820, 'answer_starts': [[820, 130]]}]",FALSE
https://www.webmd.com/beauty/qa/how-can-retinoids-help-with-acne,14f4b9cb62ba7f8a1f202a590ae73e42,How can retinoids help with acne?,"[{'text': ""If you have moderate to severe acne that hasn't gotten better with other treatments, a retinoid may help. When spread on the skin, retinoids can unclog pores, allowing other medicated creams and gels to work better. They also reduce acne outbreaks by preventing dead cells from clogging pores. By clearing acne and reducing outbreaks, they may also reduce the formation of acne scars. Retinoid pills treat oil production, bacteria that cause acne, and inflammation."", 'answer_span': [2, 3, 4, 5, 6], 'answer_start': 231, 'answer_starts': [[231, 105], [337, 109], [447, 77], [525, 90], [616, 80]]}]",FALSE
https://www.webmd.com/beauty/qa/what-do-you-need-to-know-about-using-retinoids-for-acne,b2c3779ce6505a1e056e5239bad5ceec,What do you need to know about using retinoids for acne?,"[{'text': 'What else you need to know: When you first use retinoids, you may notice redness, peeling of your skin, or worsening of your acne. You can minimize this by using the product every other day until your body gets used to it, or mix it with moisturizer.', 'answer_span': [8, 9], 'answer_start': 820, 'answer_starts': [[820, 130], [951, 119]]}]",FALSE
https://www.webmd.com/beauty/qa/how-can-retinoids-help-with-psoriasis,f1af12d75d5d03bd5a4f1525c9565bfa,How can retinoids help with psoriasis?,"[{'text': 'How to use: Smooth a pea-sized amount of retinoid cream over the skin once a day 20 to 30 minutes after washing your face. Over-the-counter retinoids may not work as well as tretinoin in reducing wrinkles, but they can improve the appearance of sun-damaged skin.', 'answer_span': [7, 14], 'answer_start': None, 'answer_starts': [[697, 122], [1459, 139]]}]",FALSE
https://www.webmd.com/skin-problems-and-treatments/psoriasis/qa/what-should-you-eat-to-help-treat-psoriasis,d61efcf59b6055f509b59505eef96aa4,What should you eat to help treat psoriasis?,"[{'text': ""There's no solid evidence that any one food makes psoriasis better or worse. At the same time, many say their sores got better after they cut back on foods like sugar, white flour, or caffeine. It won't hurt to try, especially if you cut out not so healthy foods."", 'answer_span': [34, 35, 36], 'answer_start': 2138, 'answer_starts': [[2138, 76], [2215, 116], [2332, 69]]}]",FALSE
https://www.webmd.com/skin-problems-and-treatments/psoriasis/qa/how-can-quitting-smoking-help-treat-your-psoriasis,d6145c013998d2ee0ecf741141096e1e,How can quitting smoking help treat your psoriasis?,"[{'text': 'You can add psoriasis to the long list of health problems this habit makes worse. In one study, people who smoked more than a pack a day were twice as likely to have a serious case as those who smoked half a pack or less. The effects were even stronger in women who already had psoriasis. Kicking the habit is one of the best things you can do to care for your condition.', 'answer_span': [27, 28, 29, 30], 'answer_start': 1582, 'answer_starts': [[1582, 81], [1664, 139], [1804, 66], [1871, 82]]}]",FALSE
https://www.webmd.com/skin-problems-and-treatments/psoriasis/qa/should-i-quit-smoking-if-i-have-psoriasis,b4cdf3edce466bfbd5b336f62dcc5267,Can smoking make psoriasis worse?,"[{'text': 'You can add psoriasis to the long list of health problems this habit makes worse. In one study, people who smoked more than a pack a day were twice as likely to have a serious case as those who smoked half a pack or less. The effects were even stronger in women who already had psoriasis. Kicking the habit is one of the best things you can do to care for your condition.', 'answer_span': [27, 28, 29, 30], 'answer_start': 1582, 'answer_starts': [[1582, 81], [1664, 139], [1804, 66], [1871, 82]]}]",FALSE
https://www.webmd.com/skin-problems-and-treatments/psoriasis/qa/how-can-i-bathe-with-care-if-i-have-psoriasis,575d4237d757279dc66b838209dfa279,How should I bathe if I have psoriasis?,"[{'text': ""Baths and showers can dry your skin. To keep that from happening: Make sure the water's not too hot. Lukewarm is best. Add non-fragrance salts or oil or finely ground oatmeal to bathwater after you've soaked for a minute. Plain water can suck moisture out. Take fewer showers and baths. They can strip your skin of natural oils. Bathe every other day or every third day, especially in the winter."", 'answer_span': [10, 11, 12, 13, 14, 15, 16, 17], 'answer_start': 653, 'answer_starts': [[653, 36], [690, 63], [754, 17], [772, 102], [875, 34], [910, 29], [940, 41], [982, 67]]}]",FALSE
https://www.webmd.com/skin-problems-and-treatments/psoriasis/qa/should-i-tend-to-my-mental-health-if-i-have-psoriasis,9366e755837ca4f50df5242a80e2a68d,How can I keep psoriasis from affecting my emotional health?,"[{'text': ""Don't let your condition affect your self-esteem. Ask for help if you find it's taking a toll on you. Talk to a therapist such as a psychologist or social worker or join a support group. Time with other people who understand what you're going through can help."", 'answer_span': [37, 38, 39, 40], 'answer_start': 2402, 'answer_starts': [[2402, 49], [2452, 51], [2504, 84], [2589, 73]]}]",FALSE
https://www.webmd.com/skin-problems-and-treatments/psoriasis/qa/how-should-you-tend-to-your-mental-health-to-help-with-psoriasis,97378977a91c927c7900224d11b99473,How should you tend to your mental health to help with psoriasis?,"[{'text': ""Don't let your condition affect your self-esteem. Ask for help if you find it's taking a toll on you. Talk to a therapist such as a psychologist or social worker or join a support group. Time with other people who understand what you're going through can help."", 'answer_span': [37, 38, 39, 40], 'answer_start': 2402, 'answer_starts': [[2402, 49], [2452, 51], [2504, 84], [2589, 73]]}]",FALSE
https://www.webmd.com/skin-problems-and-treatments/psoriasis/qa/how-should-you-keep-your-skin-moist-to-treat-psoriasis,cb929c7efbe94511cd1c710bf5f0a9bd,How should you keep your skin moist to treat psoriasis?,"[{'text': ""Medicines work best, but you can do things to treat your psoriasis without a prescription. After putting on thick lotions or creams, seal in the moisture with ointments like petroleum jelly, shortening, or olive oil. Sweat mixed with thick creams can make your psoriasis worse. Right after your bath or shower, pat yourself dry -- don't rub -- with a towel. Before you go to bed, wrap your skin with a bandage or plastic wrap. In the morning, wash the area gently. Over time, this can help with scaling. Baths and showers can dry your skin. To keep that from happening: Make sure the water's not too hot. But stick with it."", 'answer_span': [0, 1, 4, 5, 7, 8, 9, 10, 11, 19], 'answer_start': None, 'answer_starts': [[0, 90], [91, 125], [325, 60], [386, 79], [507, 68], [576, 37], [614, 38], [653, 36], [690, 63], [1134, 18]]}]",FALSE
https://www.webmd.com/skin-problems-and-treatments/psoriasis/qa/should-i-drink-at-all-if-i-have-psoriasis,ff8805add8a31daf1229b57eddaf962e,Should I drink at all if I have psoriasis?,"[{'text': ""Limit how much sun you get. Psoriasis is more common in people who drink heavily. Alcohol may affect men's psoriasis more than women's. Women should have no more than one drink a day, and men should stop at two."", 'answer_span': [23, 31, 32, 33], 'answer_start': None, 'answer_starts': [[1414, 27], [1954, 53], [2008, 53], [2062, 75]]}]",FALSE
