Question,Answer
Psoriasis for past 7-8 years I had psoriasis on my scalp for nearly 10 years. Please give suggestions and medications.,"The goal of treatment is to control your symptoms and prevent infection.  Three treatment options are available:  - Skin lotions, ointments, creams, and shampoos. These are called topical treatments.  - Pills or injections that affect the body's immune response, not just the skin. These are called systemic, or body-wide, treatments.  - Phototherapy, which uses ultraviolet light to treat psoriasis.    TREATMENTS USED ON THE SKIN (TOPICAL)  Most of the time, psoriasis is treated with medicines that are placed directly on the skin or scalp. These may include:  - Cortisone creams and ointments  - Creams or ointments that contain coal tar or anthralin  - Creams to remove the scaling (usually salicylic acid or lactic acid)  - Dandruff shampoos (over-the-counter or prescription)  - Moisturizers  - Prescription medicines containing vitamin D or vitamin A (retinoids)    SYSTEMIC (BODY-WIDE) TREATMENTS  If you have very severe psoriasis, your provider will likely recommend medicines that suppress the immune system's faulty response. These medicines include methotrexate or cyclosporine. Retinoids can also be used.  Newer drugs called biologics are used when other treatments do not work. Biologics approved for the treatment of psoriasis include:  - Adalimumab (Humira)  - Etanercept (Enbrel)  - Infliximab (Remicade)  - Ustekinumab (Stelara)  - Secukinumab (Cosentyx)  - Apremilast (Otezla)    PHOTOTHERAPY  Some people may choose to have phototherapy:  - This is treatment in which your skin is carefully exposed to ultraviolet light.  - It may be given alone or after you take a drug that makes the skin sensitive to light.  - Phototherapy for psoriasis can be given as ultraviolet A (UVA) or ultraviolet B (UVB) light.   OTHER TREATMENTS  If you have an infection, your provider will prescribe antibiotics.  HOME CARE  Following these tips at home may help:   - Taking a daily bath or shower. Try not to scrub too hard because this can irritate the skin and trigger an attack.  - Oatmeal baths may be soothing and may help to loosen scales. You can use over-the-counter oatmeal bath products. Or, you can mix 1 cup of oatmeal into a tub of warm water.  - Keeping your skin clean and moist, and avoiding your specific psoriasis triggers may help reduce the number of flare-ups.  - Sunlight may help your symptoms go away. Be careful not to get sunburned.  - Relaxation and anti-stress techniques. The link between stress and flares of psoriasis is not well understood.  - Limiting the alcoholic beverages you drink may help keep psoriasis from getting worse."
Psoriasis for past 7-8 years I had psoriasis on my scalp for nearly 10 years. Please give suggestions and medications.,"The goals of psoriasis treatment are to change the course of the disease by interfering with the increased production of skin cells, and to remove scales and smooth rough skin. There are many types of treatments. Many are medicines and other treatments your doctor will have to prescribe. But there are other types of treatments you can buy without a prescription or try on your own. Some treatments for psoriasis are applied directly to the skin. Some use light to treat skin lesions. Others are taken by mouth or injected. This chapter focuses on treatments that are applied directly to the skin -- also called topical treatments or light therapy.  Topical Treatments Here are some different types of topical treatments for psoriasis. - helps soften and loosen skin scales  - comes as a cream, lotion, liquid, gel, ointment or shampoo. helps soften and loosen skin scales comes as a cream, lotion, liquid, gel, ointment or shampoo. - reduce inflammation and slow the growth and build-up of skin cells   - are used in different strengths for different parts of the body.  reduce inflammation and slow the growth and build-up of skin cells are used in different strengths for different parts of the body. - works by slowing the production of skin cells   - is often combined with a steroid for added effects   - may be used with UVB light.  works by slowing the production of skin cells is often combined with a steroid for added effects may be used with UVB light. - is used to treat long-term psoriasis and hard-to-treat plaques  - reduces inflammation   - slows down the growth of skin cells. is used to treat long-term psoriasis and hard-to-treat plaques reduces inflammation slows down the growth of skin cells. - cause the skin to shed dead cells  - slow the growth of skin cells   - decrease itching.  cause the skin to shed dead cells slow the growth of skin cells decrease itching. - are believed to work by reducing skin cell overgrowth  - decrease inflammation  - are often used with other treatments.  are believed to work by reducing skin cell overgrowth decrease inflammation are often used with other treatments. - slow down the growth of skin cells   - may be used with steroid creams for added effects.  slow down the growth of skin cells may be used with steroid creams for added effects. Regardless of the topical medication your doctor prescribes, it is important to follow directions carefully. Some can be messy and stain your clothing and bedding. Others can have potentially dangerous side effects. Light Therapy Light therapy, also called phototherapy, uses ultraviolet light to treat skin lesions. Laser therapy delivers intense, focused doses of light to specific areas of the skin to clear lesions without harming surrounding tissues. Here are some different kinds of light therapy. UVB phototherapy - penetrates the skin to slow the growth of affected cells   - is given at home or at the doctor’s office   - may be combined with topical treatments or injected or oral medicines to increase effectiveness. penetrates the skin to slow the growth of affected cells is given at home or at the doctor’s office may be combined with topical treatments or injected or oral medicines to increase effectiveness. Excimer laser - targets select areas of skin with a beam of high-intensity UVB light   - is used to treat chronic, localized psoriasis plaques  - may take 4 to 10 sessions to see results . targets select areas of skin with a beam of high-intensity UVB light is used to treat chronic, localized psoriasis plaques may take 4 to 10 sessions to see results . Pulsed dye laser - uses a dye and different wavelength of light from other skin treatments  - destroys tiny blood vessels that help psoriasis lesions form  - may take 4 to 6 sessions to clear treated lesions.  uses a dye and different wavelength of light from other skin treatments destroys tiny blood vessels that help psoriasis lesions form may take 4 to 6 sessions to clear treated lesions."
Psoriasis for past 7-8 years I had psoriasis on my scalp for nearly 10 years. Please give suggestions and medications.,"While many psoriasis treatments are applied directly to the skin, your doctor may prescribe others that must be taken by mouth or injected. There are also some natural treatments, taken by mouth or applied to the skin, that you can try on your own. Systemic Therapies These therapies, prescribed by your doctor, work in different ways to help control the underlying disease process. It is important to learn as much as you can about these medications and to take them exactly as prescribed by your doctor. Oral or injected medications for psoriasis include the following. - is used to treat severe psoriasis (meaning more than 20 percent of skin is affected)  - slows the rapid growth of skin cells  - is taken by mouth or injected.  is used to treat severe psoriasis (meaning more than 20 percent of skin is affected) slows the rapid growth of skin cells is taken by mouth or injected. - may be used for severe psoriasis not controlled by methotrexate  - suppresses overactive T cells that play a role in psoriasis  - is taken by mouth or injected. may be used for severe psoriasis not controlled by methotrexate suppresses overactive T cells that play a role in psoriasis is taken by mouth or injected. - are man-made drugs related to vitamin A   - help slow the production of skin cells  - reduce inflammation. are man-made drugs related to vitamin A help slow the production of skin cells reduce inflammation. - are made from living cells grown in a laboratory  - block the action of specific cells and proteins that play a role in psoriasis  - must be injected beneath the skin or given intravenously (by IV). are made from living cells grown in a laboratory block the action of specific cells and proteins that play a role in psoriasis must be injected beneath the skin or given intravenously (by IV). Natural Treatments For many people, natural treatments can help relieve the symptoms of psoriasis. There are many natural treatments you can try on your own, but you should never use them to replace the treatment your doctor prescribes. Here are some natural treatments you may want to try. Spending a few minutes in the summer sun can help your psoriasis, but be sure to use sun block and increase time spent in the sun gradually. Applying cream from the aloe vera plant improves symptoms for some people. You should avoid aloe vera tablets. Taking fish oil orally helps some people with psoriasis. If you want to try fish oil, first speak with your doctor, as it may interact with other medications you are taking. Soaking in a solution of Dead Sea salts may improve scaling and itching. Be sure to apply moisturizer when you get out of the tub. Capsaicin, the ingredient that makes cayenne peppers hot, is the active ingredient in some topical pain-relievers. Some people find they relieve pain and itching."
Asthma I have been treated for breast cancer and had chemotherapy and readiation.  I am on many drugs but since stopping treatment I have now presented as having asthma.  I take Letrozole. 2.5 to block any estrogen in my body as my tumor was estrogen positive. What type of drugs impact asthma symptoms?   Please advise,"Asthma is caused by swelling (inflammation) in the airways. When an asthma attack occurs, the lining of the air passages swells and the muscles surrounding the airways become tight. This reduces the amount of air that can pass through the airway.  In people who have sensitive airways, asthma symptoms can be triggered by breathing in substances called allergens or triggers.   Common asthma triggers include:  - Animals (pet hair or dander)  - Dust mites  - Certain medicines (aspirin and other NSAIDS)  - Changes in weather (most often cold weather)  - Chemicals in the air or in food  - Exercise  - Mold  - Pollen  - Respiratory infections, such as the common cold  - Strong emotions (stress)  - Tobacco smoke   Substances in some workplaces can also trigger asthma symptoms, leading to occupational asthma. The most common triggers are wood dust, grain dust, animal dander, fungi, or chemicals.  Many people with asthma have a personal or family history of allergies, such as hay fever (allergic rhinitis) or eczema. Others have no history of allergies."
"Rheumatoid arthritis Dear Sir- my wife is suffering from subject since last couples of years, and recently diagnose that she is effected with subject. therefore i need your kind support for treatment and percussion step.  awaiting your kind reply and action. thanks and best Regards","RA most often requires lifelong treatment, including medicines, physical therapy, exercise, education, and possibly surgery. Early, aggressive treatment for RA can with newer drug categories can be very helpful slowing joint destruction and preventing deformities.  MEDICINES  Disease modifying antirheumatic drugs (DMARDs): These are often the drugs that are tried first in people with RA. They are prescribed along with rest, strengthening exercise, and anti-inflammatory drugs.  - Methotrexate (Rheumatrex) is the most commonly used DMARD for rheumatoid arthritis. Leflunomide (Arava) and hydroxychloroquine may also be used.  - Sulfasalazine is an anti-inflammatory drug that is often combined with methotrexate and hydroxychloroquine (triple therapy).  - These drugs may have serious side effects, so you will need frequent blood tests when taking them.    Anti-inflammatory medications: These include aspirin and nonsteroidal anti-inflammatory drugs (NSAIDs), such as ibuprofen and naproxen.  - Although NSAIDs work well, long-term use can cause stomach problems, including ulcers and bleeding, and possible heart problems.  - Celecoxib (Celebrex) is another anti-inflammatory drug. Drugs in this class (COX-2 inhibitors) may increase heart attack and stroke risk for some people. Talk to your doctor about whether these medicines are right for you.    Antimalarial medications: This group of medicines includes hydroxychloroquine (Plaquenil). They are most often used along with methotrexate. It may be weeks or months before you see any benefit from these drugs.  Corticosteroids: These medicines work very well to reduce joint swelling and inflammation, but they can have long-term side effects. Therefore, they should be taken only for a short time and in low doses when possible.  Biologic agents: These drugs are designed to affect parts of the immune system that play a role in the disease process of rheumatoid arthritis.  They may be given when other medicines for rheumatoid arthritis have not worked. Sometimes biologic drugs are started sooner, along with other rheumatoid arthritis drugs.  Most of them are given either under the skin (subcutaneously) or into a vein (intravenously). There are different types of biologic agents:  - White blood cell modulators include: abatacept (Orencia) and rituximab (Rituxan)  - Tumor necrosis factor (TNF) inhibitors include: adalimumab (Humira), etanercept (Enbrel), infliximab (Remicade), golimumab (Simponi), and certolizumab (Cimzia)  - Interleukin-6 (IL-6) inhibitors: tocilizumab (Actemra)    Biologic agents can be very helpful in treating rheumatoid arthritis. However, people taking these drugs must be watched very closely because of serious risk factors:  - Infections from bacteria, viruses, and fungi  - Leukemia or lymphoma  - Psoriasis  - Allergic reactions    Other drugs:  - Janus kinase inhibitor: Tofacitinib (Xeljanz). This is a medicine taken by mouth that is now approved for treating RA.    SURGERY  Surgery may be needed to correct severely damaged joints. Surgery may include:  - Removal of the joint lining (synovectomy)  - Total joint replacement in extreme cases; may include total knee, hip replacement, ankle replacement, shoulder replacement, and others    PHYSICAL THERAPY  Range-of-motion exercises and exercise programs prescribed by a physical therapist can delay the loss of joint function and help keep muscles strong.  Sometimes, therapists will use special machines to apply deep heat or electrical stimulation to reduce pain and improve joint movement.  Other therapies that may help ease joint pain include:  - Joint protection techniques  - Heat and cold treatments  - Splints or orthotic devices to support and align joints  - Frequent rest periods between activities, as well as 8 to 10 hours of sleep per night    NUTRITION  Some people with RA may have intolerance or allergies to certain foods. A balanced nutritious diet is recommended. It may be helpful to eat foods rich in fish oils (omega-3 fatty acids). Smoking cigarettes should be stopped. Excessive alcohol should also be avoided."
"None Name: [NAME] Date and Time of Contact: Mon, 19 Jan 2015 19:48:21 GMT Application: entrez Database: pubmed SessionId: 39700B4F4BD5E951_0188SID MyNCBI UserName: Browser's user agent header: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10) AppleWebKit/600.1.25 (KHTML, like Gecko) Version/8.0 Safari/600.1.25 Message Body: how are you 100% sure if you have asthma?","Your primary care doctor will diagnose asthma based on your medical and family histories, a physical exam, and test results.                  Your doctor also will figure out the severity of your asthma—that is, whether it's intermittent, mild, moderate, or severe. The level of severity will determine what treatment you'll start on.                  You may need to see an asthma specialist if:                  You need special tests to help diagnose asthma                  You've had a life-threatening asthma attack                  You need more than one kind of medicine or higher doses of medicine to control your asthma, or if you have overall problems getting your asthma well controlled                  You're thinking about getting allergy treatments                  Medical and Family Histories                  Your doctor may ask about your family history of asthma and allergies. He or she also may ask whether you have asthma symptoms and when and how often they occur.                  Let your doctor know whether your symptoms seem to happen only during certain times of the year or in certain places, or if they get worse at night.                  Your doctor also may want to know what factors seem to trigger your symptoms or worsen them. For more information about possible asthma triggers, go to ""What Are the Signs and Symptoms of Asthma?""                  Your doctor may ask you about related health conditions that can interfere with asthma management. These conditions include a runny nose, sinus infections, reflux disease, psychological stress, and sleep apnea.                  Physical Exam                  Your doctor will listen to your breathing and look for signs of asthma or allergies. These signs include wheezing, a runny nose or swollen nasal passages, and allergic skin conditions (such as eczema).                  Keep in mind that you can still have asthma even if you don't have these signs on the day that your doctor examines you.                  Diagnostic Tests                  Lung Function Test                  Your doctor will use a test called spirometry (spi-ROM-eh-tre) to check how your lungs are working. This test measures how much air you can breathe in and out. It also measures how fast you can blow air out.                  Your doctor also may give you medicine and then test you again to see whether the results have improved.                  If the starting results are lower than normal and improve with the medicine, and if your medical history shows a pattern of asthma symptoms, your diagnosis will likely be asthma.                  Other Tests                  Your doctor may recommend other tests if he or she needs more information to make a diagnosis. Other tests may include:                  Allergy testing to find out which allergens affect you, if any.                  A test to measure how sensitive your airways are. This is called a bronchoprovocation (brong-KO-prav-eh-KA-shun) test. Using spirometry, this test repeatedly measures your lung function during physical activity or after you receive increasing doses of cold air or a special chemical to breathe in.                  A test to show whether you have another condition with the same symptoms as asthma, such as reflux disease, vocal cord dysfunction, or sleep apnea.                  A chest x ray or an EKG (electrocardiogram). These tests will help find out whether a foreign object or other disease may be causing your symptoms.                  Diagnosing Asthma in Young Children                  Most children who have asthma develop their first symptoms before 5 years of age. However, asthma in young children (aged 0 to 5 years) can be hard to diagnose.                  Sometimes it's hard to tell whether a child has asthma or another childhood condition. This is because the symptoms of asthma also occur with other conditions.                  Also, many young children who wheeze when they get colds or respiratory infections don't go on to have asthma after they're 6 years old.                  A child may wheeze because he or she has small airways that become even narrower during colds or respiratory infections. The airways grow as the child grows older, so wheezing no longer occurs when the child gets colds.                  A young child who has frequent wheezing with colds or respiratory infections is more likely to have asthma if:                  One or both parents have asthma                  The child has signs of allergies, including the allergic skin condition eczema                  The child has allergic reactions to pollens or other airborne allergens                  The child wheezes even when he or she doesn't have a cold or other infection                  The most certain way to diagnose asthma is with a lung function test, a medical history, and a physical exam. However, it's hard to do lung function tests in children younger than 5 years. Thus, doctors must rely on children's medical histories, signs and symptoms, and physical exams to make a diagnosis.                  Doctors also may use a 4–6 week trial of asthma medicines to see how well a child responds."
ClinicalTrials.gov - Question - general information Trying to talk to someone about Vitiligo,"Vitiligo is a condition that causes patchy loss of skin coloring (pigmentation). The average age of onset of vitiligo is in the mid-twenties, but it can appear at any age. It tends to progress over time, with larger areas of the skin losing pigment. Some people with vitiligo also have patches of pigment loss affecting the hair on their scalp or body.  Researchers have identified several forms of vitiligo. Generalized vitiligo (also called nonsegmental vitiligo), which is the most common form, involves loss of pigment (depigmentation) in patches of skin all over the body. Depigmentation typically occurs on the face, neck, and scalp, and around body openings such as the mouth and genitals. Sometimes pigment is lost in mucous membranes, such as the lips. Loss of pigmentation is also frequently seen in areas that tend to experience rubbing, impact, or other trauma, such as the hands, arms, and places where bones are close to the skin surface (bony prominences). Another form called segmental vitiligo is associated with smaller patches of depigmented skin that appear on one side of the body in a limited area; this occurs in about 10 percent of affected individuals.  Vitiligo is generally considered to be an autoimmune disorder. Autoimmune disorders occur when the immune system attacks the body's own tissues and organs. In people with vitiligo the immune system appears to attack the pigment cells (melanocytes) in the skin. About 15 to 25 percent of people with vitiligo are also affected by at least one other autoimmune disorder, particularly autoimmune thyroid disease, rheumatoid arthritis, type 1 diabetes, psoriasis, pernicious anemia, Addison disease, or systemic lupus erythematosus.  In the absence of other autoimmune conditions, vitiligo does not affect general health or physical functioning. However, concerns about appearance and ethnic identity are significant issues for many affected individuals."
"I need help ? I have few questions and needed some help from you guys, I have a really serious problem about me and the stress I have been through for a long time, and I couldn't do anything to get rid off what I'm really in a bad feelings. And I'm really having and hard time searching and try to get rid off my pimples , I've been have these probably every since when I was 15 years old . I do not know what kind or where I can find , something that could help me, something that could work , because there's alot of products . And I'm not sure which kind could fit my skins to remove my pimples. . Please help, I'm having a serious hard time having these. Its really embarrassing, that's why I always wear long sleeve to cover it every single day, 24/7. I'm really appreciate if you guys have tine to contact me and talk about. Another thing, my question is , how can I get rid of my pimples on my upper arms and my back. Also I really don't know what kind pimples do I have on my skin. Please help me , so I wouldn't be having so many stress about my skins.","SELF-CARE    Steps you can take to help your acne:        Clean your skin gently with a mild, nondrying soap (such as Dove, Neutrogena, Cetaphil, CeraVe, or Basics).      Look for water-based or ""noncomedogenic"" formulas for cosmetics and skin creams. (Noncomedogenic products have been tested and proven not to clog pores and cause acne.)      Remove all dirt or make-up. Wash once or twice a day, including after exercising.      Avoid scrubbing or repeated skin washing.      Shampoo your hair daily, especially if it is oily.      Comb or pull your hair back to keep the hair out of your face.     What NOT to do:        Try not to squeeze, scratch, pick, or rub the pimples. This can lead to skin infections and scarring.      Avoid wearing tight headbands, baseball caps, and other hats.      Avoid touching your face with your hands or fingers.      Avoid greasy cosmetics or creams.      DO NOT leave make-up on overnight.     If these steps do not clear up the blemishes, try over-the-counter acne medicines that you apply to your skin.        These products may contain benzoyl peroxide, sulfur, resorcinol, or salicylic acid.      They work by killing bacteria, drying up skin oils, or causing the top layer of your skin to peel.      They may cause redness, drying, or peeling of the skin.     A small amount of sun exposure may improve acne slightly, but tanning mostly hides the acne. Too much exposure to sunlight or ultraviolet rays is not recommended because it increases the risk for skin cancer.    MEDICINES FROM YOUR HEALTH CARE PROVIDER    If pimples are still a problem, a provider can prescribe stronger medicines and discuss other options with you.    Antibiotics may help some people with acne:        Oral antibiotics (taken by mouth) such as tetracycline, doxycycline, minocycline, erythromycin, trimethoprim, and amoxicillin      Topical antibiotics (applied to the skin) such as clindamycin, erythromycin, or dapsone     Creams or gels applied to the skin may be prescribed:        Retinoic acid cream or gel (tretinoin, Retin-A)      Prescription formulas of benzoyl peroxide, sulfur, resorcinol, or salicylic acid      Topical azelaic acid     For women whose acne is caused or made worse by hormones:        A pill called spironolactone may help.      Birth control pills may help in some cases, though they may make acne worse in some women.     Minor procedures or treatments may also be helpful:        A laser procedure called photodynamic therapy may be used.      Your provider may also suggest chemical skin peeling; removal of scars by dermabrasion; or removal, drainage, or injection of cysts with cortisone.     People who have cystic acne and scarring may try a medicine called isotretinoin (Accutane). You will be watched closely when taking this medicine because of its side effects.    Pregnant women should NOT take Accutane, because it causes severe birth defects.        Women taking Accutane must use 2 forms of birth control before starting the drug and enroll in the iPledge program.      Men also need to be enrolled in the iPledge program.      Your provider will follow you on this drug and you will have regular blood tests."
"hair loss new acne and coarse hair on face hi there i am losing my hair i,m a women by the way and i am getting spots every day big lump spots and now the hairs on my face are now showing they have become coarse please could you help me i dont go out anymore im so ashamed of myself.","Effective treatments for some types of hair loss are available. But some hair loss is permanent. With some conditions, such as patchy alopecia, hair may regrow without treatment within a year.    Treatments for hair loss include medications, surgery, laser therapy, and wigs or hairpieces. Your doctor may suggest a combination of these approaches in order to get the best results.    The goals of treatment are to promote hair growth, slow hair loss or hide hair loss.  Medication    If your hair loss is caused by an underlying disease, treatment for that disease will be necessary. This may include drugs to reduce inflammation and suppress your immune system, such as prednisone. If a certain medication is causing the hair loss, your doctor may advise you to stop using it for at least three months.    Medications are available to treat pattern baldness. Two medications approved by the Food and Drug Administration (FDA) to treat hair loss are:        Minoxidil (Rogaine). Minoxidil is an over-the-counter liquid or foam that you rub into your scalp twice a day to grow hair and to prevent further hair loss. It may be used by men and women. With this treatment, some people experience hair regrowth, a slower rate of hair loss or both. The effect peaks at 16 weeks and you need to keep applying the medication to retain benefits.        Possible side effects include scalp irritation, unwanted hair growth on the adjacent skin of the face and hands, and rapid heart rate (tachycardia).        Finasteride (Propecia). This prescription drug is available only to men. It's taken daily in pill form. Many men taking finasteride experience a slowing of hair loss, and some may show some new hair growth. You need to keep taking it to retain benefits.        Rare side effects of finasteride include diminished sex drive and sexual function and an increased risk of prostate cancer. Women who are or may be pregnant need to avoid touching crushed or broken tablets.    Surgery    In the most common type of permanent hair loss, only the top of the head is affected. Hair transplant or restoration surgery can make the most of the hair you have left.    During this procedure, your surgeon removes tiny plugs of skin, each containing a few hairs, from the back or sides of your scalp. He or she then implants the plugs into the bald sections of your scalp. You may be asked to take a hair loss medication before and after surgery to improve results.    Surgical procedures to treat baldness are expensive and can be painful. Possible risks include infection and scarring.  Wigs and hairpieces    You may want to try a wig or a hairpiece as an alternative to medical treatment or if you don't respond to treatment. It can be used to cover either permanent or temporary hair loss. Quality, natural-looking wigs and hairpieces are available.    If your hair loss is due to a medical condition, the cost of a wig may be covered by insurance. You'll need a prescription for the wig from your doctor."
Psoriasis for past 7-8 years I had psoriasis on my scalp for nearly 10 years. Please give suggestions and medications.,"Topical treatments, such as moisturizers, over-the-counter and prescriptions creams and shampoos, typically are used for mild psoriasis.  Treating moderate to severe psoriasis usually involves a combination of treatment strategies. Besides topical treatments, your doctor your doctor may prescribe phototherapy (also known as light therapy). Your doctor may also prescribe systemic medications, including biologic drugs, especially if your psoriasis is significantly impacting your quality of life."
